,4.0 out of 5 stars,5.0 out of 5 stars,3.0 out of 5 stars,1.0 out of 5 stars,2.0 out of 5 stars
4,"Placement of buttons is odd & can not get Alexa to work right, otherwise good Alexa doesn't work or respond right, unless I'm doing something wrong. I use my fire tablet for games mostly, but do communicate with family on it.",,,,
5,"Good replacement for my previous tablet I previously had a Nexus 7 2013, which I got in 2016. It was perfect for my needs at the time but 5 years later I got tired of turning it on then waiting 10 minutes for it get to a state that I could actually use it, and I had reset only about a year or so earlier for the same reason.My needs have changed to where I don't need as many features and at this price (got it on sale) it fit my requirements just fine. It's not the greatest tablet on the market, but if you need something that's a bit beyond basic and can keep your entertained then it's perfectly fine.The Echo Show mode is useful as well.I don't understand why there are only two wake words for the device; Alexa and Amazon, since those are the two that gets used a lot on TV and videos and it responds when it's said by anything. I can't get anything to fake out Siri into thinking a real person is saying it and not a voice from a speaker.",,,,
6,,"Great budget tablet I bought this tablet primarily to replace a Samsung Galaxy Tab A (8 inch) tablet with which I was displeased, primarily because it was so slow. I don't have any specific metrics or benchmarks, but it was just slow - loading up apps, loading websites, and especially task switching. My uneducated guess is that the problem was that it only had 2 GB of RAM. It probably needed more.So when I looked into this Fire tablet, I was careful to get the model with 3 GB of RAM. I figured that if my uneducated guess about the RAM was wrong, I could just return the Fire. However, it turns out that the Fire's performance far exceeds that of the Samsung, at least according to my subjective benchmarks. I'm very satisfied with it.To literally ""replace"" my Samsung tablet, the Fire needed a little help, because many of the apps I use are not available in the Amazon app store (LastPass and Cheftap are two specific examples; there are many more). So I did a bit of googling and found out how to install the Google Play store, and then I used the Play store to install any apps I need that aren't in the Amazon store. This was done *without* rooting the Fire.  The challenge is that the Fire's OS is based on an older version of Android, so you have to get a Play store that matches the older Android version. That *could* limit the ability to get app upgrades of certain apps, but for now I haven't encountered that problem.I did get the version with ads on the lock screen. That saves some bucks and is entirely unobtrusive, in my opinion.The Fire charges up with the newer USB-C plug; some day all non-Apple devices will do that and life will be happy across all the land.",,,
7,,,"Luckily i only bought this to read on I am underwhelmed by this product. I bought this to read books on, and to have word runner (since i own only apple products and for some reason this isn't included on them...)I can literally only read on this product it is so slow. Browsing the kindle store is even a pain. I don't understand why you would want to make a product so slow that it is almost impossible to browse your own store?!I understand that this is a cheaper product (then lets say an ipad or phone) but it is just frustratingly slow.I still use it for reading and that only, it literally is a pain to do anything else, unfortunately. I cannot imagine what a normal (not plus?) product would perform like.However it works for what i want so I will continue to use it for that (perfect size for a book). 🤷🏼‍♀️",,
8,"Awesome Starter Tablet, Personal Assistant, and Portable Entertainment Screen I've owned the Fire HD 8 for ~ 6 months now. Before I explain why, let me say that I do recommend this tablet; to anyone. I was drawn to this tablet solely by its price. Purchasing low-end has worked well for me.With less than perfect vision, I often yearned for something larger than my smartphone to browse the web, read the news, and read books for extended periods of time.Regarding the app store, the app selection is scarce. The most disappointing aspect of that is the lack of an alternative browser to Silk. Firefox is definitely preferred.Regarding the screen, its great for reading, good for media.Regarding the processor, its very disappointing. Its drawbacks are most obvious when using media apps, switching apps or any other multi-tasking like behavior. Even with no power or connectivity restrictions set, nearly all notifications are delayed.Regarding the battery, it's awesome. (Especially with the convenience of the wireless dock) I've never ran below 20% battery.As far as my satisfaction with purchasing low-end; I feel no pressure to preserve the device. I purchased the screen protector and matching cover, which gives me ample comfort that my table is safe. I feel comfortable bringing it out in public in any sort of conditions without fear or loss or damage ... simply because it didn't cost me $1000. Because of that, I'm more likely to throw it in my bag or grab it alongside my keys, wallet, and phone on my way out of the door allowing me to use it more often and love it a little bit more.When I'm at home, and because of Alexa - and other basic apps and utilities - this tablet is a great companion. Again, because it didn't cost me $1000, I feel comfortable reading a book in a bubble bath. When the day is done, I can drop it on it's dock on my night stand, automatically activating ""show mode"" and the night stand clock.It doesn't get much better than that for less than $200.",,,,
9,,,Goggle It said it was compatible with Google apps but it was not. On top of that I sent it back and never got the refund.,,
0,,"Performs as expected. This review is for the HD8 Plus with no lock screen ads.Firstly, if you are looking for a flagship top of the line android tablet to run apps from Google Play Store, this is not it, look elsewhere. Now that we have that out of the way, this tablet delivers exactly what it promises, an awesome Amazon focused experience.I purchased this tablet as an upgrade to my aging Fire HD8. The first difference I noticed is the dimension, this newer tablet is wider than the previous version, that is because the camera is now along the longer side, not the shorter side as in the older model.  It feels different and while I personally prefer the narrower format, but I am getting used to it.Battery:Finally, it has a USB type-C connector, one less charger to carry around. You can use this to charge and transfer data to the tablet. Charging is not quick charge but for this tablet, I don’t need quick charge. Battery is just right, I use this tablet almost all-day playing music, browsing the web, YouTube, etc. and still have juice left at the end of the day.Speed:Performance is just right for this tablet, it handles anything I can throw at it, a marked improvement over my older HD8 (6th gen). Apps open with very little or no lag, nothing to complain about, it is just right.Storage:I added a 256GB Micro SD card for extra storage. This tablet can handle up to 1TB MicroSD cards. It is easy to add your own media, once connected to your computer, swipe down or go into settings and change the USB connection mode to allow file transfers, by default it’s charging only.Tip:You can disable the new items from showing on the home screen from settings, swipe down, settings, use the search bar (at the top) and enter “new”. Select “New Items on the Home page” and turn off “Show new items…”.Finally:Now if you really want to know, you can sideload the Play Store app. If you are following so far, you know where to go and how to find instructions, it takes just a few minutes and works very well.I skipped the last release and waited for this generation; I can say it was well worth the wait.P.S. I have not tested wireless charging or Show Mode as yet.",,,
1,,Better than my old one. Kindle is really fast with the extra 128GB microSD Memory Card in it.,,,
2,,"The problem is NOT the tablet! I read a lot of reviews and honestly don't understand why all the issues. Yes the Google Play store is not available because this is not a Google made product!All those people complaining about wifi connectivity, maybe the problem isn't this tablet and more of an issue with your obsolete router or your slow ISP because your so cheap!Seriously, all these garbage reviews sound like someone just is doing something wrong or they need to spend some money and upgrade something else!I bought the 8+ with max specs, no ads, and I dont run the echo-show mode. I also bought the wireless charging stand.I have had no issues whatsoever, and I kind of push mine beyond lame web surfing blah blah blah.My main activity is running PUBG in max graphics mode and it runs excellent!Yes I also stream youtube, run the Amazon music app while connected by cast or bluetooth, again no problems!The screen display is just fine. I didn't buy for camera usage so no big deal there.I think the sound is fine for what I paid for and for those moments I want more, again I connect to my smart speaker or I make use of head phones, no brainer!I have not experienced any lag or slowing down of my system and I have owned for about 6 months now. It's still as fast as day one!I also stuck some velcro between the tablet and wireless charging dock because I do move to different points and I always want the base support. No battery issues to report either.In summary I feel that most negative reviews aren't so much the tablet but slow ISP or bad routers. Upgrade people!I have really enjoyed my tablet. It works fantastic and will provide me with years of boredom killing fun!I recommend this tablet, just modernize your internet equipment and make sure you have decent wifi speeds, you shouldn't have any problems.Peace out!",,,
3,"Vibrant large screen makes viewing print and photos a whole lot easier Large screen allows you to easily view any photos and print without having to enlarge for a better look. You don't need to have a Prime account but you will need at least a basic Amazon account to use the tablet. Colors come alive on the vibrant large touchscreen, which to some may be easier than a phone screen. What may be less than likable is downloading some apps; just know some are not free. You can use your tablet as an eReader which is pretty cool as well.More pros then cons with this purchase. Easy to use, simple to see, and feasible price.I would recommend.",,,,
4,"Nice upgrades for the price, great kids tablet upgrade. Needs 1080p to be perfect. On paper on Fire HD8 Plus is a pretty large update from the past two iterations of Amazon's most popular tablet and I think it delivers. It has TWICE the ram from the old 2016 model i'm replacing and I can actually multitask a little  bit without bogging the machine down. The 30% CPU bump along with the switch to Wireless AC has significantly cut through a lot of loading in regards to streaming content. I could be wrong but there appears to be some improvements in the speed of the read/write of the internet storage which which gives apps a much snappier launch time to my eye.There is also the switch over to the newer Fire OS which runs off new android software. I've noticed the new picture in picture mode, the *amazing* ability to finally pin apps for daughter to stay in her learning games. There's improvements to volume toggling and interface tweaks abound. It's not a huge departure from the older OS setup but all features are welcome.The tablet itself is denser, the buttons feel clickier without that cheap plastic feel of the old machines. USB-C itself means I can use my older phone chargers and laptop chargers and finally toss my last Micro-USB charger in my closet for good. The dual stereo speakers sound the same (as in very good for a  budget tablet), but the display is still too dim for my liking. Lots of people don't like the 800p display and it's true it's a bit grainy. But it also serves to keep battery life up and performance strong. It's the one sacrifice Amazon continues to make and I think it is a perfect compromise for kids content, but can be disappointing for adults who want to use it for reading text and browsing.In the end this is really going to be my kids tablet, with the new kids case attached to it. The lower pixel screen seems to fade away when the colorful simplistic kids content is displayed. I think this makes a huge upgrade for children on older Fire HD8 models and the extra ram is really useful when they are opening so many games, books and videos with Freetime. For adults? It will depend largely on how much you are willing to compromise on screen sharpness.",,,,
5,,"Great for the price I have a Fire 8HD and the major issue is that it does not work well with 5G. The Fire 8HD Plus works with 5G, I have had no drops or disconnects. It is faster and the colors seem brighter. The major differences are:(1) the position of the front camera - now on the side when held vertical. This in not an issue for me. I do not do face-to-face calls unless I am on my computer.(2) Size the Fire 8HD plus is shorter and wider then the old Fire8HD. It is 1/4 inch wider and 3/4 inches shorts. this means holding in you hand is not as secure. I could fold my fingers around the old Fire but cannot fold them around the new Fire Plus. It is not as secure and this is with out a case. Will not like walking in the airport caring this in my hand - afraid I will drop it if hit in a crowd - Yes I know we are to be social distancing.(3) power button is moved from the right side to now being next to the volume button. This is taking some adjustment and getting use to. I have a tendency to hit the volume button after first having tried to power on via the right side.(4) Still cannot load Google apps without some special technical doings which I am not ready to try.LIKES: speed is faster, more memory and storage, Still can add the micro-SD card, heading jacket, and the price is great for the features. I had 2 iPad and gave them to my grand-kids as they were problems when in China. Have a 8"" Lenovo tablet which still use.One major feature is Kindle books. I love to read and with the Cov19 I am reading about 1 book a day and now I use the Fire8 Plus instead of my Kindle paperwhite because I get more screen and I can adjust to a larger print. Will give my Kindle away as the Fire 8Plus is a better. I also like the USB 3 charger as it works with my Pixel3aIt is definitely worth the extra money but I would have liked if they had kept it the same size as the old Fire",,,
6,,"My last Fire I admit it, I'm a Fire junkie.  This is my third Fire 8 HD and my fifth over all, I previously had two Fire 7's.  The price is great, though I did go for the 1 TB chip which cost more than the tablet, charging stand and case combined, but that's another story.This is the first Fire to allow access to all of the Micro SD cards memory.  All of the others used a considerable chunk of that memory for who knows what.  After inserting the chip, I had 1TB of memory available from the start.  My previous Fire, the eighth generation, only had 364 GB of the 400 GB chip available.  After downloading over five hundred books and 89 HD movies, I still have over eight hundred GB available.Back to the Fire tablet.  It's faster than the preceding version with more base memory.I think this one is the cure to my Fire addiction, I don't think I'll need to upgrade again.  But I'm sure all the I phone users have said the same thing.Update: 7/31/2020I have a nasty habit of reading reviews submitted on products I own.  It baffles me why some of the reviewers seem obliged to bad mouth a product because they didn't properly research the item before purchase.The specs on the Fire HD8 Plus were clearly displayed and the image showed that the front camera had been moved from the top to the side, hence the need for a different case.Mine was a pre-order and I received it on the first available date.  It was in perfect condition.  As stated above, I've had four Fire tablets before this one and I've not been disappointed with any of them.  The biggest incentive for me is the price and the quality.  I haven't been impressed with any of the supposed ""higher quality"" tablets because they all cost two or three times as much and haven't got the ability to expand storage capacity as the Fire tablet.  I have an $800 Galaxy phone and it doesn't have half the storage of my Fire.  It also doesn't have the capability to store pictures and apps to the SD card that the Fire has.Maybe I'm old school or don't feel the need to complain about nit picky things.  I love my Fire tablet.",,,
7,"Love the charging platform I just bought this Kindle 8HD Plus.  Not because my other two 8HD's had died, but because from the years of plugging the unplugging in the charger cable, no matter which cable I tried, apparently the charging port in the Kindle no longer could hold the cable (I assume a pin or two had bent/broken).  I learned this is a common problem.  So while I hated to lose two perfectly good Kindles, there was no point if I couldn't charge them.So, I went with the Kindle 8HD plus.  It still has all the good features of the others, plus some extras, but there are a few negatives when you first buy it:Size:  the Plus has the same screen size, but the body of it is just enough shorter and wider than your old HD8 case won't fit.  So, if you like having a case, you have to buy a new one.  At least I was able to find one from their warehouse, so I saved about $10 there, not caring whether the box was perfect.Cost:  Obviously, because you have to buy the charging platform separately, that's an extra cost.  Cha-Ching!Altogether, I ended up paying  $166.96.  Now, that's not bad, were it not for the fact of my two old ones still working perfectly, except for the port.  I'll probably send them back to Amazon and may get $10 for them.  Still I can't imagine life without my Kindle.",,,,
8,,,Confusing to navigate My 38 year old daughter on the autism spectrum has difficulty finding & accessing her apps.,,
9,"Kindle Fire HD 8 Plus tablet, HD display, 32 GB Kindle Fire HD 8 Plus tablet, HD display, 32 GB: I bought this Kindle so I could attend Zoom meetings and have holiday visits with family and friends. My two previous Kindle Fires are 2011 and 2012. This year, I acquired my first smart phone and was using Zoom on that, but with increased use, I wanted a larger screen. The Kindle Fire HD 8 Plus feels like a cross between the original Kindle and a smart phone, which means I'm still adjusting to a pretty different arrangement. The good news is that most of my apps came forward to the 8 Plus, and I was familiar with a Kindle.Challenges:  Some of my apps don't behave well on the 8 Plus, but they didn't behave that well originally (difficulty exiting the app) Some behave better or have more options. Finding where things are on the 8 Plus is a big challenge at first. You can move the apps around, so that your commonly used apps can be at the front of the line. (Just be careful to wait until there is a space between the icons, or you get two apps in a ""file."") You can also access EPUB (non-Kindle) books with the SILK browser, which I couldn't do on my older Kindles.The biggest challenge was finding a case that had the front camera at the top. The control buttons are on the right, which bothers some people, so there are cases with the camera on the bottom and the buttons on the left, which doesn't work well for Zoom meetings, and there is one with the camera at the top (DTangLsm), so the buttons are on the right.I will keep exploring the 8 Plus, but the Zoom worked fine for two meetings, one of which had the link in an email, and the other, I went to the site and linked there. And, the price wasn't too bad, cheaper than a laptop.",,,,
0,,"Best Kindle tablet I’ve ever used. Fastest operating Kindle I’ve ever used, with great battery life.  Facebook, Instagram & news apps rival my iPad mini.",,,
1,"Not bad for using in the place of your phone for browsing and email. Bloatware is a little much, sleep screen is annoying (advertising games, etc.), and there are few apps I wanted to install but weren't available.  Other than that, does what it is supposed to.",,,,
2,,"Wow!  Very fast and responsive! I've owned in the past a few Kindle and Fire models -- that last one was the 2016 HD 8 version.  I gotta say this new 2020 version is faster and more responsive than the older ones...  I love that!I know that my following suggestions will be mostly based on the OS, perhaps they can take some of my ideas to heart...I'd like for them to be able to add (alongside the clock) the date also on the top bar.  It now takes 2 steps to see the date on the unit.  Scroll down twice the top to see the date.It seems they removed the visual page (settings) of what is sucking up all the CPU and RAM on the unit.  I hope they can bring that feature back.  It's good to keep an eye on faulty APPs.There seems to be a bug with the default app: Reader or WPS Office, because each time I attempt to exit or leave the application after viewing a .doc , I get a message that I need to send an error report. -- Plus it's also quite difficult to press on the X on the upper right hand corner to exit the app.  Since the tablet's top menu (time, wi-fi, battery icons, and etc.) are in the way.Well, that seems to be it, pretty sure those are more fixes they can do on the OS then the unit itself, so far so good.Oh, and they ought to really work on in improving the camera, c'mon, we ought to get an auto-zoom and also a flash when taking pics at night.  Plus the headphone jack should have more volume output power when using normal headphones.Plus they should put the volume and power buttons far away from each other.... oh the times I've messed up by trying to lower the volume I tend to close the screen (soft power off) by making the error of pressing the power button.  Ugghh!  I guess I gotta get used to the new placement on those.",,,
3,"The Software is awful I have the fire 7 but wanted the 8 plus, especially for the wireless charging. I use it a lot so wireless charging was a big plus. However, the soft ware on 8 is awful compared to the 7. I read a lot of books on my fire and the software on the 8 is not good for that. So, I'll have to continue reading on my 7 until Amazon finally updates 8's software to the current version that 7 uses.",,,,
4,,,,"Over priced Fills way outdated and app store very very very limited. Cheap over priced tablet. OS is a joke and junk it is more of outdated win7 phone then 2020 tablet. The app store is Garbage it can barely be called an app store. Has change in over 5 years. An they haven't got any good app unless you little kid.Cons:No Google playway Over pricedOutdatedCant us out doors unless it is really shaded. The scream looks dark in  sun light.No real app storeCheap $50 tabletOS is junk an not thought was put intoOS Very slow can't even load Amazon app fastSound is low even at maxOS is load is adware . An no it not a really deal with ads because it still over priced.Freeze a lotNo user friendly unless your an Amazon Junky and don't care about get full use from a product.Web browser is always in desktop mode so make it not user friendly and unusable on a lot of sites because of the screen size.Touch gets stuck sometime because of the bad OSNo good your anyone look for a real tablet or is a gamer.No good for shopping unless it on Amazon and it not very good at that.Pro:Good specs if it had Android or windows s or Linux on it.Good battery life after a couple of charges.Ok for gaming but very little good game on the app store almost none.has freevee  appWell made tabletScreen response ok does get stuck a specially the back arrow.Good if you an Amazon Jimmy and don't want a really tabletGood for kids under 12 and not hardcore gamers.Over all like an out date tablet. Fire tv has had more thought put in it the fire tablets. it like they don't want people to get full use out of it. It can't make up it mind if is what's to be a computer tablet ereader smart tv. It not ery good at sny of them. it more closely to a smart ereader. But on the dum side. But good for kids who are just going to rot their brains away on videos. The tablets are over way over priced. The OS is outdate by 15 yrs make it fills like the old WebOs  device and even the app store reminds me of WebOS. If apple made this kind of device they would of drop the mobile device line a long time ago. An the adware at a discounted price is still over priced. Never pay full for a fire tablet they all should be under $80. Compared to my vankyo  tablet that I got under $80 couple years ago and had less ram and memory and a printing problem. The vankyo was still a better tablet and I could do 90% more with it then the fire tablet.Would I recommended it yes to a Amazon junky, little kid or some who read ebooks or some who want to watch streaming videos with limit apps. But not for really tablet users.",
5,,"Love it I'm in love with my Kindle HD 8 fire tablet, I came from the 7 HD and it is a major improvement, it is much faster due to the RAM and for comics, mangas and media content is an awesome device.",,,
6,"Works well, but confusing button layout I didn't need this, but the trade-in offer was too good. I had a 7"" that I paid $35 for back in the day, and Amazon have me $10+20% off, so it was $26 towards a new one. Since the old 7 was sitting in a box, unused, I decided to try the new 8 plus.It's definitely faster and more responsive. I like the larger size, but the best parts are the USB-C and wireless charging options. Another thing that I noticed, but is never mentioned, is that my HD 10 (7th generation) has 5Ghz Wi-Fi but not all channels, whereas this one does. Since routers are set on default channels and most people don't change them, they get crowded. I always change mine to less crowded channels, but some devices don't receive them like the older tablets (and Roku devices).I was able to easily use some specific tools (you can Google it) to customize this tablet, even though I use Amazon services quite a lot. It's one of the reasons I love Android. I am not an Android expert, so it is really easy for most people.Update after a week: the camera is in a very strange spot. In portrait alignment, it is on the left, as are the speakers. It doesn't seem strange until you put it into a case. I got a folding folio style one on Fleabag, and I was confused as to why it opened to the right (opposite of a book). Well, if it opened to the left like normal cases, the power and volume buttons would be on the bottom in portrait mode. Basically, the buttons are all on the wrong side. It's a very confusing design choice.Update after a month: this thing is a champ after some modifications. You can do your own research on what I mean... I discovered something brilliant about this that I've never seen before, including Apple devices: when this tablet is in landscape mode, it automatically orient's the volume switches so that the button closest to you/surface is always ""volume down."" It's a small design integration, but it's ingenious.",,,,
7,,Great product This is the second one of these I have purchased. Got one for my grandson last year and got another for my granddaughter this time because we were very happy with the first one. And I love the wireless charger makes it so convenient.,,,
8,,,"not working  good at all this tablet will work ok for a while, then stops. not worth the price",,
9,,"You may need to temper your expectations I bought this tablet to replace my Fire 7"" (2019) since after the latest update it became super sluggish. This tablet is quite the upgrade. I bought the 32 GB model because I always use SD cards to bolster the internal storage. The battery life on it is excellent but to be fair I did cut the brightness to 50% so there's that. It's not too easy to see the screen in direct sunlight but eh it is what it is. The 3 GB of RAM makes it super snappy,but it may not beat other tablets or even your cell phone in this regard because it uses a different processor. I also don't mind everything in 720p because I watch a lot of older shows and movies. I have used the Qi functions on this thing exactly once and that was as a test,I prefer plugging it in with the included AC adapter. To be honest for a while I was trying to decide if I wanted this or the standard 8 and the Qi had no bearing on my decision. But yeah the gray does look gaudy without a case on it so of course I bought one and it's pretty in pink. I mainly use headphones with this because while the stereo speakers aren't bad sounding I do end up having to blow up the volume because the case I bought prevents reverb a bit. The cameras are OK: I typically don't take pictures with any of my tablets (I also have a Samsung Galaxy Tab A 10.1 2019). But for video calls the front camera is fine,or at least that's my dad's opinion since he borrows it for said video calls *laughs*. Overall for the money this is a great device,I love it even with it's minor nitpicks but do yourself a favor and avoid trying to side load Google Play on these Amazon tablets: so not worth the aggravation.",,,
0,,Awesome tablet My daughter bought this for me to replace my kindle fire 10 that I gave to my mom. Kindle fire tablets are some very good tablets. My entire family loves to read and we all have one. Very easy to use. The screen quality is very good. My daughter uses her tablet for downloading college textbooks when she can. She said it has been so much easier to carry than tons of books. The battery life is also really good which is a plus for us considering how much we read.,,,
1,,"Fire HD 8 Plus offers great technical specs at an affordable price I purchased this as a long overdue replacement for my 4th generation Fire HD 6. I primarily use my Fire tablets as Kindle devices because I'm a fan of the text-to-speech functionality. (Did you know you can also ask your Alexa Echo devices to read your Kindle books to you?) Aside from the improved specs in the new 2020 10th Generation version, I was especially looking forward to being able to Alexa in Show mode without having to be tethered to an outlet - this functionality alone is well worth the product price IMO. The Fire HD 8 tablet is a great choice for people who want to read or listen to Kindle books, watch streaming video content (Amazon Prime Video, Netflix, YouTube, etc.) or casually browse the internet. Both of my Fire tablets have had the 'Special Offers'; they don't bother me at all.Favorite Features:- Amazing Battery Life!!- Alexa 'Show Mode' - like having a wireless Echo Show!- Text-to-Speech functionality for Kindle- Expandable Memory up to 1TB- Dolby Speakers = decent sound quality- Has a 3.5mm Audio Jack- 3GB RAM & Wireless Charging (Plus model)- Angreat 10W Wireless Charging Dock (sold separately) is well-designedA few minor gripes:- I wish the included charging cable were longer, but I ordered a wireless charging dock- It would be great if the 'Plus' model came in more colors- Camera quality could be improved- Fingerprint Magnet- Google Play Store not included by default",,,
2,,,,"Runs Super Slow Ok, last time I wrote a review for this product (the first one I received), Amazon blocked the review from being posted. Even an Amazon employee who looked at the review said that they couldn't understand why the review was not approved. I think it's safe to assume that considering this is an Amazon product, they don't exactly take too kindly to negative reviews of their own products. Of course, they have to let a few of them through to make it look like they're not actually censoring people. If this review is also rejected, then I will go to every product review site that I know of and make sure to spread the word about how terrible this product is.Ok, so around 4 weeks ago, I had grown tired of many of the apps on my Kindle Fire HDX no longer working because it was about 5 or 6 years old and the apps could no longer update. Stuff like the internet browser, I had no problem with, but I was tired of the ever increasing number of apps that no longer ran. I decided to bite the bullet and upgrade to a Fire HD 8 Plus. Boy, what a mistake that turned out to be.This tablet is slooooow. I mean, it takes a good 20-30 seconds for a page to load when doing a Google search. Spotify runs so slow that sometimes I can't even get the page to fully load to play the songs. You Tube usually takes at least 30 seconds to load, sometimes a minute and a half to two minutes. That's just to actually get the video to even be able to start! Then you usually have to pause the video for another minute to be able to load enough of it so that it won't keep starting and stopping. I called for support to see what could be causing the issues. The representative I talked to had me make sure the latest updates were installed: updated it, and no change. Then, I did a factory reset. Again, just as slow as before.Now, I know what you're thinking: ""Maybe you just got a lemon."" Yeah, that's what I thought too. After doing all of the troubleshooting steps, I got a replacement. At first, it seemed promising, as the new one seemed to work quickly on internet searches right away, as well as You Tube. I only took a quick couple of minutes to check things out because I had to go somewhere, but I went to bed that night thinking everything was straightened out.No such luck. Took more time to check it out again the next day and everything is running super slow. I end up getting called by an Amazon representative because I filled out a product survey that let them know that I was not very impressed.Again, I go through the troubleshooting steps: checking updates, turning the device off and on, and doing a factory reset. All failed to make a difference. We test my internet speed and there's no problems there. In a last-ditch effort, they try to blame my WiFi connection. So I ask ""If my WiFi was the issue, then how come a couple of weeks ago I was using a Fire HDX that was 5 or 6 years old that was running perfectly fine with internet? I have no extra devices on my WiFi since then, so why is this new tablet running at a snail's pace when a 5 or 6 year old one was running perfectly fine a couple of weeks ago?""""I...I don't...I don't have an answer to that,"" the representative stammered.Of course you don't, because it doesn't make sense! The only thing that makes sense is that this product is inferior. My guess is that Amazon is using out of date software in these tablets. It's a real shame, because the Fire HDX was basically the same price when I bought it brand new around 5-6 years ago and was a great product. Now, I feel like I'm using a computer with a floppy disk drive in 2020. Amazon has definitely cheapened their Fire tablets, and it's very unfortunate, because I used to highly recommend them to others. Obviously, that will no longer be the case. I think Amazon felt like they could cut corners and give their customers an inferior product and still get away with it.",
3,,"Great price when on sale! I bought this tablet and Amazon case during the Prime Days.  The price is great and the screen quality and battery life is good.  This is a replacement for my Google Nexus2 tablet,  I like the magnetic connection to keep the cover secure and turn the screen off.  This is similar to the iPad cover.The only complain about this tablet is that I can not hold it in one hand like I had with Nexus2.  The Amazon cover doesn't help much on this part.  I understand that this is the difference between 8"" and 7"" tablets.  But if the cover have a ring like those on the cell phone cases, it would be perfect!",,,
4,"8 Plus is Great Device This is my 4th Fire Tablet.  I have had two 7"" and one 10"" device before this 8"".  I really like it.  I probably still like the 7"" version best because I primarily use it for reading in bed and it is lighter to hold.  However, my battery was no longer dependable(it was getting pretty old!)  and the 8"" is the most recently updated version so I went with it.  The 10"" Tablet is primarily used by my husband while sitting in his recliner.  We both like it.I bought the 8 Plus version, no ads.  The no ads feature is not worth the $15....but I had never done that before and decided to try it.  This little tablet is really good so far. The picture is great as far as I am concerned, the sound quality far exceeds previous versions, and it is super fast.  Obviously since this is my 4th Fire, I am a big fan.  It does everything I need it to do.  I have a laptop PC for those occasions when anything else is needed - but that doesn't happen very often. I can put this in my pocketbook and have it handy for game playing or reading a book in any ""waiting"" situation.  I read with this device, use it for email, and surf the web a bit but am not constantly on any device.  For me it is perfect.  I am very satisfied with my purchase.  I have not tried it in ""Show Mode"" since that is not really a feature that made me want the device.The only reason for the less than 5 star rating is the lack of an improved camera and the change in the camera placement.  Very, very awkward position and therefore making it hard to use if you have a case/cover for the tablet.  I really don't understand why the design team felt that change is an improvement.Overall, I highly recommend this 8 Plus Fire Tablet.",,,,
5,"Fire HD8 Plus - Good and Bad Bought this specifically to serve as the heart of a ""Man Cave"" coffee table digital music system using Edifier BT1700 powered speakers. It is working surprisingly well, but there are a few good and bad points:The Good-It was much cheaper than a iPadUsing it with the wireless charging dock keeps the tablet in position for use on the table and it charges anytime the system is turned on. The rate of charge is faster than the battery drain while playing music.Battery life is very good.It works well with Amazon Prime Music HD- no issues with speed or audio.The Bluetooth 5.0 actually gives the best wireless audio quality I have ever experienced. Connected wirelessly to Edifier BT1700's, it sounds noticeably  better than the wired connection.The Bad:The volume level through the tablet's speakers is ridiculously low. There are volume booster apps, but all Ive tried distort the sound.Heres the BIG one- the upgraded USB-C port is worthless to me as USB audio is not supported. I would like to incorporate an external DAC to make use of Prime Music HD's capability, but that is impossible due to this major shortcoming. Because of this, the audio from tracks on Prime Music HD is limited to 24bit- 48kHtz. Ive confirmed the shortcoming with Amazon Support, and I doubt if this issue can or will be corrected. With the wireless charging dock, the USB-C port sits unused when it would be a great feature if it was enabled for audio use.Ive noticed that occasional ""jittering"" of the music occurs (short episodes of cutting in and out while music is playing). Rebooting the tablet seems to correct the issue. This has only been necessary once or twice since Ive had it.Overall, it is a pretty good basic tablet that could easily be made much better if Amazon would just make a few adjustments. I have my doubts that they will.The tablet will serve its intended purpose for now, but I will likely replace it with a ""standard"" Android tablet (with useable USB audio) sometime down the road.",,,,
6,,"Was interested in going smaller I love my Kindle Fire 10 in (generation 7) and use it mainly for reading Graphic Novels and Videos and yes, a lot of reading as well.  I do have a couple of Kindles, including the Oasis (for just reading e-ink books).  But at times, the 10 in was a bit heavy to lug around.So, when the price was dropped to $79 for the HD 8+ I could not pass it up. I turned in a older 10 inch Fire (5th gen) to sweeten the deal (and get 20% off) and then Amazon took off $30 as well and my $109 HD 8+ was reduced to about $35 or so (pre-tax).  Heck, even if I did not love it, it was well worth it.  I still have my Gen 7 ten inch fire and my Oasis.But I do love this HD 8 +.  Watched RED on it (for the 100th time), Train to Busan, Night Crew, and Episode 4 of Season 1 of Hanna,  and they all looked and sounded great.  I have played a few games on it and I am currently reading some books on it.In the same order as my 8 HD +  I also picked up a Poetic Turtle case that helps amplify the sound.  Works very well.  All in all, I love this 8 inch HD.  Ordered a 256 GB Micro SD card (for about $22) to extend the storage for movies and books.  I read comics on it as well and have had no problems.With the faster speed/new OS, and the extra RAM, I have been using this 8 in Fire also exclusively the  past week.  It is just so darn versatile and handy.  Perfect for what I want: to watch videos, play games, and read graphic novels and e-books.  For only $35, what a deal!  Had it for a week now, and used it every day.  No problems and no hassles.",,,
7,"Tablet is fine, but do not count on backups I bought this to replace a 7th generation Kindle Fire 8. Everything looks great except the restore from backup option keeps failing and all customer service can suggest to me is try signing into another wifi signal. If you're just starting out with a Kindle this is a great device. If you don't want to manually recreate a previous Kindle, you might want to wait until they work this bug out.",,,,
